"id","clave","nombre","numeroLatitud","numeroLongitud","numeroAltitud","claveCarta","entidades_id","municipios_id","created_at","updated_at","deleted_at"
"11245","0832","La Democracia","165335.016","914829.016","761","E15D54","7","59",,,
"11246","0834","Las Piedrecitas","165317.016","914811.016","747","E15D54","7","59",,,
"11247","0835","San Miguel","165354.996","914837.008","675","E15D54","7","59",,,
"11248","0836","Candelaria","165648.658","914802.226","641","E15D54","7","59",,,
"11249","0838","La Palma Grande","165733.012","914733","689","E15D54","7","59",,,
"11250","0843","California Uno","165340.992","914909.984","835","E15D54","7","59",,,
"11251","0844","La Tinta","165406.012","914319.992","626","E15D54","7","59",,,
"11252","0846","Toluca","165429.988","914324.996","603","E15D54","7","59",,,
"11253","0851","San José Mumunal","165406.984","914954.984","765","E15D54","7","59",,,
"11254","0853","El Suspiro","165424.669","914945.543","658","E15D54","7","59",,,
"11255","0854","Nuevo México","165612.012","914734.008","660","E15D54","7","59",,,
"11256","0856","Pueblo Nuevo","165736","914606.996","621","E15D54","7","59",,,
"11257","0862","San Francisco","165455.008","914447.004","593","E15D54","7","59",,,
"11258","0863","San Miguel","165555.992","914515.984","620","E15D54","7","59",,,
"11259","0866","El Primor","165523.016","914336.012","680","E15D54","7","59",,,
"11260","0867","San Miguel","165602.133","914510.538","642","E15D54","7","59",,,
"11261","0869","San Nicolás Uno","165500.012","914506.984","612","E15D54","7","59",,,
"11262","0870","San Martín","165559.016","914430.984","635","E15D54","7","59",,,
"11263","0871","San Caralampio","165604.992","914454.996","620","E15D54","7","59",,,
"11264","0872","La Península","165320.004","914609.012","584","E15D54","7","59",,,
"11265","0874","Guadalupe","165424.012","914430.984","580","E15D54","7","59",,,
"11266","0875","San Antonio Samaria","165121.996","915259.988","948","E15D54","7","59",,,
"11267","0878","San Antonio","165106.984","915342","888","E15D54","7","59",,,
"11268","0879","Diez de Septiembre","165409","914255.008","634","E15D54","7","59",,,
"11269","0881","La Puerta","165750.004","915531.008","959","E15D54","7","59",,,
"11270","0882","Las Conchitas","165841.016","915559.988","900","E15D54","7","59",,,
"11271","0883","Nuevo Paraíso","165853.004","915531.008","812","E15D54","7","59",,,
"11272","0884","San Juan de Ulúa","165927.996","915504.008","779","E15D54","7","59",,,
"11273","0887","Santo Domingo","165854.984","915611.004","911","E15D54","7","59",,,
"11274","0891","San Antonio","165532.016","914332.016","672","E15D54","7","59",,,
"11275","0893","El Carmen","165527.984","914327.012","702","E15D54","7","59",,,
"11276","0894","Santa Margarita Tres","165451.012","914336.984","592","E15D54","7","59",,,
"11277","0895","Anaconda","165615","914421.012","643","E15D54","7","59",,,
"11278","0896","Concepción","165545.984","914408.988","647","E15D54","7","59",,,
"11279","0897","Miguel Hidalgo","165530","914359.016","675","E15D54","7","59",,,
"11280","0899","Las Palomas","165533.996","914351.996","678","E15D54","7","59",,,
"11281","0900","Santa Margarita Dos","165505.016","914353.004","600","E15D54","7","59",,,
"11282","0901","El Porvenir","165513.008","914348","606","E15D54","7","59",,,
"11283","0902","El Progreso","165550.016","914350.016","682","E15D54","7","59",,,
"11284","0903","Morelia","165612.012","914444.016","608","E15D54","7","59",,,
"11285","0904","La Unión Uno","165523.988","914321","700","E15D54","7","59",,,
"11286","0905","Unión Dos","165559.988","914340.008","775","E15D54","7","59",,,
"11287","0906","La Fortuna","165554.984","914358.008","665","E15D54","7","59",,,
"11288","0907","Santa Rosita","165548","914227","880","E15D54","7","59",,,
"11289","0908","El Chuvish (El Chuvín)","165348.984","920114.016","860","E15D53","7","59",,,
"11290","0909","San Nicolás","165445","914454.996","612","E15D54","7","59",,,
"11291","0911","Santa Elena","165419.008","914421.012","608","E15D54","7","59",,,
"11292","0915","San Jacinto","165505.016","914234.992","788","E15D54","7","59",,,
"11293","0917","Vistahermosa","165617.016","914359.988","710","E15D54","7","59",,,
"11294","0919","Península Dos","164935.004","914321","603","E15D54","7","59",,,
"11295","0921","La Pita","164921","914300.984","623","E15D54","7","59",,,
"11296","0925","Crucero Monte Líbano","165420.988","913727.984","625","E15D55","7","59",,,
"11297","0926","San Juan","165451.012","913733.996","640","E15D55","7","59",,,
"11298","0935","Fracción Nuevo Monte Líbano","165622.992","913715.996","856","E15D55","7","59",,,
"11299","0936","San Jorge","165509.984","913638.016","802","E15D55","7","59",,,
"11300","0937","San Francisco Uno","165615","913706.996","955","E15D55","7","59",,,
"11301","0941","Santa María del Carmen","165051","920002.988","899","E15D53","7","59",,,
"11302","0944","Santa Isabel","165347.004","915908.016","840","E15D54","7","59",,,
